route,bicycling,driving_best_guess,transit,walking,best,origin_ine_code,destination_ine_code,workers_count
28013 - 28005,12741,3694,5460,44957,más de 30 min,28013,28005,72
28013 - 28006,14863,3054,4860,50284,más de 30 min,28013,28006,125
28013 - 28007,10328,2677,NA,36766,más de 30 min,28013,28007,102
28013 - 28009,15300,3624,7980,55449,más de 30 min,28013,28009,6
28013 - 28011,12128,3952,NA,42165,más de 30 min,28013,28011,1
28013 - 28013,0,0,0,0,walking,28013,28013,7323
28013 - 28014,7460,2913,6272,27708,más de 30 min,28013,28014,175
28013 - 28015,9765,2804,NA,34544,más de 30 min,28013,28015,15
28013 - 28018,23659,4317,NA,75218,más de 30 min,28013,28018,2
28013 - 28019,6150,2115,NA,21149,más de 30 min,28013,28019,4
28013 - 28022,12418,2561,8669,44794,más de 30 min,28013,28022,16
28013 - 28028,24406,5783,NA,80912,más de 30 min,28013,28028,1
28013 - 28030,26277,4798,8880,82953,más de 30 min,28013,28030,1
28013 - 28032,14454,3497,7860,50812,más de 30 min,28013,28032,1
28013 - 28033,9694,3392,NA,33772,más de 30 min,28013,28033,2
28013 - 28036,6677,2126,NA,23296,más de 30 min,28013,28036,3
28013 - 28040,3575,1486,600,12472,transit,28013,28040,400
28013 - 28043,5129,1725,NA,17011,driving_best_guess,28013,28043,64
28013 - 28044,18704,4011,NA,62664,más de 30 min,28013,28044,1
28013 - 28045,18934,4158,21840,62369,más de 30 min,28013,28045,3
28013 - 28046,24182,4235,8460,73701,más de 30 min,28013,28046,1
28013 - 28047,19271,3848,6120,67585,más de 30 min,28013,28047,17
28013 - 28049,10755,2776,4200,38870,más de 30 min,28013,28049,43
28013 - 28050,6991,2416,NA,24735,más de 30 min,28013,28050,7
28013 - 28052,5017,2092,NA,16860,más de 30 min,28013,28052,25
28013 - 28053,14135,3415,7380,50829,más de 30 min,28013,28053,2
28013 - 28054,20807,5189,NA,69906,más de 30 min,28013,28054,1
28013 - 28055,10318,3312,NA,37926,más de 30 min,28013,28055,2
28013 - 28058,8313,2325,3499,31488,más de 30 min,28013,28058,174
